,"last_name, first_name",player_id,player_age,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,slg_percent,on_base_percent,isolated_power,babip,p_earned_run,p_run,p_save,p_blown_save,p_win,p_loss,p_balk,p_era,p_total_stolen_base,p_lob,p_quality_start,p_called_strike,p_gnd_into_dp,p_hit_by_pitch,p_hit_fly,p_hit_ground,p_hit_line_drive,p_hold,p_out_fly,p_out_ground,p_out_line_drive,p_swinging_strike,xba,xslg,woba,xwoba,xbadiff,xslgdiff,wobadiff,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,n_fastball_formatted,fastball_avg_speed,fastball_avg_break_x,fastball_avg_break_z,ip,whip
0,"Verlander, Justin",434378,41.0,575.6666666666666,130.66666666666666,84.33333333333333,28.333333333333332,1.6666666666666667,16.333333333333332,118.33333333333333,41.333333333333336,20.3,7.133333333333333,0.4106666666666667,0.31233333333333335,0.157,0.2926666666666667,59.333333333333336,64.33333333333333,0.0,0.0,7.333333333333333,8.333333333333334,0.3333333333333333,4.183333333333334,10.666666666666666,108.0,10.666666666666666,372.0,7.0,5.666666666666667,25.333333333333332,42.0,63.0,0.0,92.33333333333333,98.33333333333333,39.0,218.0,0.23900000000000002,0.3973333333333333,0.3136666666666667,0.30466666666666664,0.014666666666666666,0.013333333333333334,0.009,35.63333333333333,7.733333333333333,36.93333333333333,78.78232687633333,93.85274674099999,22.866666666666664,49.03333333333333,59.300000000000004,33.46666666666667,30.0,25.46666666666667,11.066666666666668,48.13333333333333,93.89999999999999,-8.5,-12.366666666666667,134.73333333333332,1.2947637620230619
1,"Jansen, Kenley",445276,36.0,213.33333333333334,38.333333333333336,24.666666666666668,7.666666666666667,0.3333333333333333,5.666666666666667,57.0,18.666666666666668,26.833333333333332,8.766666666666666,0.33466666666666667,0.27666666666666667,0.13199999999999998,0.25633333333333336,18.333333333333332,19.666666666666668,28.333333333333332,3.0,4.0,4.0,2.3333333333333335,3.17,12.0,43.0,0.0,125.66666666666667,1.3333333333333333,1.3333333333333333,12.0,7.333333333333333,19.0,0.0,40.333333333333336,30.0,8.666666666666666,97.0,0.209,0.37033333333333335,0.26733333333333337,0.285,-0.006333333333333333,-0.03566666666666667,-0.017666666666666667,32.46666666666666,8.933333333333334,39.166666666666664,81.548011028,94.17564462799999,27.266666666666666,52.4,65.76666666666667,27.066666666666666,39.06666666666666,20.633333333333336,13.266666666666666,90.33333333333333,93.16666666666667,2.1999999999999997,-13.433333333333332,52.46666666666667,1.1029520012202958
2,"Morton, Charlie",450203,40.0,690.3333333333334,152.0,97.33333333333333,32.0,2.6666666666666665,20.0,166.33333333333334,73.33333333333333,24.066666666666666,10.633333333333333,0.4203333333333334,0.35000000000000003,0.16433333333333333,0.32,78.33333333333333,83.0,0.0,0.0,10.333333333333334,11.0,1.6666666666666667,4.553333333333334,12.666666666666666,140.66666666666666,11.0,465.0,17.0,14.666666666666666,31.0,48.333333333333336,72.66666666666667,0.0,71.33333333333333,148.66666666666666,38.333333333333336,304.6666666666667,0.24666666666666667,0.40166666666666667,0.3376666666666666,0.3293333333333333,0.009333333333333334,0.018666666666666665,0.008333333333333333,34.36666666666667,8.566666666666668,40.36666666666667,78.81087963066666,94.42343257899999,28.733333333333334,45.43333333333334,59.833333333333336,45.26666666666667,24.46666666666667,25.666666666666668,4.633333333333333,48.300000000000004,93.3,-11.766666666666666,-22.666666666666668,156.73333333333332,1.44416834136253
3,"Scherzer, Max",453286,39.0,385.3333333333333,84.33333333333333,48.333333333333336,18.0,0.0,18.0,98.66666666666667,26.0,24.5,6.3999999999999995,0.4466666666666666,0.29433333333333334,0.205,0.2783333333333333,44.0,44.666666666666664,0.0,0.0,6.666666666666667,5.0,0.0,4.303333333333334,6.333333333333333,59.0,7.666666666666667,233.66666666666666,5.0,2.3333333333333335,24.333333333333332,22.666666666666668,37.333333333333336,0.0,61.0,59.333333333333336,24.0,184.0,0.23266666666666666,0.41566666666666663,0.31866666666666665,0.3056666666666667,0.009,0.031,0.013,36.96666666666667,9.6,36.666666666666664,77.20634603633333,93.771452608,27.133333333333336,51.93333333333334,66.73333333333333,31.76666666666667,33.06666666666667,23.933333333333334,11.299999999999999,52.36666666666667,92.66666666666667,-8.466666666666667,-17.133333333333333,93.43333333333332,1.1925773788269298
4,"Martin, Chris",455119,38.0,184.0,45.0,36.666666666666664,4.0,0.0,4.333333333333333,46.333333333333336,6.0,25.266666666666666,3.233333333333333,0.35733333333333334,0.28633333333333333,0.09899999999999999,0.3263333333333333,12.333333333333334,15.333333333333334,2.3333333333333335,2.6666666666666665,3.0,2.6666666666666665,0.0,2.4933333333333336,6.333333333333333,41.666666666666664,0.0,110.33333333333333,6.0,1.3333333333333333,8.0,15.333333333333334,21.666666666666668,17.0,18.666666666666668,45.666666666666664,12.333333333333334,71.66666666666667,0.26066666666666666,0.37966666666666665,0.27566666666666667,0.289,-0.0023333333333333335,-0.022333333333333334,-0.013333333333333334,35.63333333333333,5.066666666666666,35.666666666666664,76.27242189866666,93.81286931199999,23.0,55.86666666666667,76.7,46.666666666666664,21.400000000000002,26.7,5.2,83.33333333333333,93.53333333333335,-4.433333333333334,-20.033333333333335,45.76666666666667,1.1195391000718917
5,"Carrasco, Carlos",471911,37.0,358.6666666666667,96.0,56.0,21.666666666666668,2.6666666666666665,15.666666666666666,63.0,29.333333333333332,17.233333333333334,8.166666666666666,0.532,0.36166666666666664,0.2313333333333333,0.328,56.333333333333336,58.333333333333336,0.0,0.0,2.6666666666666665,6.666666666666667,0.3333333333333333,6.510000000000001,7.666666666666667,61.0,2.6666666666666665,210.0,7.666666666666667,3.6666666666666665,20.666666666666668,25.666666666666668,49.666666666666664,0.0,42.0,89.33333333333333,19.333333333333332,132.33333333333334,0.2843333333333333,0.47333333333333333,0.381,0.35833333333333334,0.016333333333333335,0.05866666666666667,0.02266666666666667,37.1,9.799999999999999,43.300000000000004,79.836731337,94.88207239966668,23.3,47.06666666666666,59.86666666666667,42.5,25.333333333333332,26.766666666666666,5.366666666666667,42.86666666666667,91.56666666666668,-8.333333333333334,-23.5,79.46666666666667,1.6102341588346938
6,"García, Luis",472610,37.0,251.33333333333334,58.333333333333336,40.0,12.0,1.0,5.333333333333333,51.333333333333336,21.666666666666668,20.466666666666665,8.700000000000001,0.39433333333333337,0.33266666666666667,0.13333333333333333,0.3153333333333333,26.666666666666668,29.666666666666668,2.0,2.3333333333333335,3.0,2.0,0.0,4.123333333333334,8.333333333333334,56.666666666666664,0.0,139.66666666666666,7.333333333333333,3.0,11.0,18.333333333333332,28.333333333333332,12.0,21.333333333333332,76.0,12.666666666666666,91.66666666666667,0.25233333333333335,0.38233333333333336,0.3156666666666667,0.31033333333333335,0.008666666666666668,0.012000000000000002,0.005333333333333333,32.300000000000004,6.5,41.36666666666667,77.292313729,94.441592678,24.5,48.63333333333333,58.23333333333333,53.63333333333333,18.8,24.166666666666668,3.4,53.86666666666667,96.76666666666667,-13.033333333333333,-18.400000000000002,57.76666666666667,1.3867390222361153
7,"Kershaw, Clayton",477132,36.0,373.0,79.33333333333333,52.666666666666664,16.0,1.0,9.666666666666666,81.66666666666667,28.0,20.766666666666666,7.333333333333333,0.38599999999999995,0.3093333333333333,0.13433333333333333,0.2956666666666667,31.0,34.666666666666664,0.0,0.0,8.666666666666666,3.0,1.3333333333333333,3.44,2.0,68.33333333333333,6.0,242.0,11.666666666666666,2.3333333333333335,14.0,27.666666666666668,37.666666666666664,0.0,42.666666666666664,95.0,21.666666666666668,152.0,0.25666666666666665,0.391,0.3026666666666667,0.31033333333333335,-0.005,-0.005,-0.007666666666666666,34.93333333333333,5.733333333333333,40.666666666666664,78.779776443,94.54306291233333,24.7,48.36666666666667,66.7,45.26666666666667,21.633333333333336,25.599999999999998,7.5,36.0,89.86666666666667,0.10000000000000002,-16.166666666666668,91.13333333333333,1.2627023462747997
8,"Yates, Kirby",489446,37.0,223.33333333333334,32.0,16.333333333333332,8.666666666666666,0.0,7.0,72.33333333333333,27.666666666666668,32.166666666666664,12.166666666666666,0.3373333333333333,0.2823333333333333,0.16433333333333333,0.225,18.0,19.333333333333332,13.666666666666666,2.0,6.0,2.3333333333333335,1.0,3.2266666666666666,8.666666666666666,50.0,0.0,131.66666666666666,1.0,2.6666666666666665,6.333333333333333,10.333333333333334,15.0,8.666666666666666,32.0,35.666666666666664,10.0,135.66666666666666,0.19399999999999998,0.34,0.27399999999999997,0.286,-0.021,-0.0026666666666666644,-0.011999999999999997,29.133333333333336,9.233333333333333,38.63333333333333,78.26673342733334,94.052946276,33.23333333333333,48.699999999999996,60.93333333333334,38.0,33.666666666666664,21.0,7.3999999999999995,57.43333333333334,93.2,-13.6,-17.5,54.13333333333333,1.1312890249152197
9,"Quintana, Jose",500779,35.0,530.6666666666666,115.0,79.66666666666667,18.666666666666668,1.6666666666666667,15.0,94.66666666666667,45.666666666666664,17.866666666666667,8.433333333333334,0.38033333333333336,0.31433333333333335,0.13433333333333333,0.2776666666666667,53.0,57.0,0.0,0.0,8.0,7.666666666666667,0.3333333333333333,3.76,7.666666666666667,94.0,9.333333333333334,352.6666666666667,13.666666666666666,5.666666666666667,20.0,41.333333333333336,53.666666666666664,0.0,75.33333333333333,131.66666666666666,36.666666666666664,156.33333333333334,0.26833333333333337,0.42700000000000005,0.3056666666666667,0.3336666666666666,-0.022333333333333334,-0.04666666666666667,-0.027999999999999997,34.9,7.166666666666667,37.46666666666667,77.13306984933332,93.859298477,20.733333333333334,43.93333333333334,62.43333333333334,44.26666666666667,25.900000000000002,24.233333333333334,5.566666666666666,55.06666666666666,90.5,10.066666666666668,-19.633333333333336,125.5,1.2881418848523734
