,"last_name, first_name",player_id,player_age,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_foul,b_foul_tip,b_gnd_into_dp,b_hit_by_pitch,b_intent_walk,b_pinch_hit,b_pinch_run,b_sac_bunt,b_sac_fly,b_swinging_strike,r_run,xba,xslg,xwoba,xobp,xiso,xbadiff,xslgdiff,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed
0,"Maldonado, Martín",455117,37.0,238.33333333333334,38.333333333333336,23.666666666666668,7.0,0.0,7.666666666666667,34.76666666666667,5.933333333333334,0.17133333333333334,0.3016666666666667,0.22566666666666668,0.13033333333333333,0.2373333333333333,19.666666666666668,0.0,0.0,139.0,8.666666666666666,6.0,1.3333333333333333,0.0,26.333333333333332,0.0,7.0,0.0,142.0,17.666666666666668,0.18166666666666667,0.3316666666666666,0.24866666666666667,0.23566666666666666,0.14966666666666667,-0.010333333333333333,-0.03,87.46666666666665,30.966666666666665,8.633333333333333,5.133333333333334,21.8,29.26666666666667,23.833333333333332,11.266666666666666,34.56666666666667,98.66710137766667,62.03333333333333,25.133333333333336,32.0,61.06666666666666,39.333333333333336,46.56666666666666,66.2,8.700000000000001,74.86666666666666,53.43333333333334,42.76666666666667,36.266666666666666,48.06666666666666,48.166666666666664,31.733333333333334,20.099999999999998,67.53333333333333,40.53333333333334,30.366666666666664,17.400000000000002,11.666666666666666,23.133333333333336
1,"Solano, Donovan",456781,36.0,312.6666666666667,77.66666666666667,57.333333333333336,14.333333333333334,0.6666666666666666,5.333333333333333,21.833333333333332,6.833333333333333,0.27166666666666667,0.38166666666666665,0.33433333333333337,0.10999999999999999,0.33866666666666667,31.333333333333332,0.3333333333333333,0.6666666666666666,241.66666666666666,14.333333333333334,7.666666666666667,7.0,0.3333333333333333,13.666666666666666,0.6666666666666666,0.0,1.3333333333333333,129.0,28.0,0.25466666666666665,0.37266666666666665,0.30466666666666664,0.31866666666666665,0.11833333333333333,0.017,0.009000000000000001,88.3,38.666666666666664,4.566666666666666,6.7,31.3,22.433333333333334,30.866666666666664,4.033333333333333,39.53333333333333,98.708013574,64.89999999999999,15.466666666666667,31.933333333333334,45.46666666666667,54.53333333333333,48.93333333333334,69.76666666666667,8.033333333333333,84.53333333333335,51.06666666666666,42.73333333333333,25.099999999999998,48.76666666666667,33.06666666666667,40.96666666666667,26.0,65.3,43.5,23.0,28.166666666666668,5.366666666666667,25.3
2,"McCutchen, Andrew",457705,37.0,513.0,106.0,71.0,19.666666666666668,0.3333333333333333,15.0,22.766666666666666,13.133333333333333,0.24233333333333332,0.39166666666666666,0.3463333333333334,0.14933333333333332,0.29466666666666663,50.0,2.0,5.0,347.0,20.333333333333332,9.666666666666666,4.333333333333333,2.3333333333333335,4.0,0.0,0.0,3.0,228.0,57.333333333333336,0.24566666666666667,0.41033333333333327,0.336,0.351,0.16466666666666666,-0.003333333333333334,-0.018666666666666668,89.2,33.36666666666667,9.033333333333333,6.7,24.400000000000002,25.03333333333333,30.8,3.633333333333333,41.333333333333336,99.95946620666666,66.33333333333333,20.566666666666666,18.833333333333332,53.0,47.0,49.03333333333333,82.16666666666667,7.5,79.43333333333334,50.96666666666667,44.13333333333333,27.5,43.06666666666666,44.800000000000004,34.9,20.3,60.46666666666667,42.266666666666666,27.866666666666664,22.900000000000002,7.0,27.433333333333334
3,"Turner, Justin",457759,39.0,452.0,103.33333333333333,70.33333333333333,20.666666666666668,0.0,12.333333333333334,18.2,9.299999999999999,0.25133333333333335,0.38400000000000006,0.32899999999999996,0.13266666666666668,0.28633333333333333,56.333333333333336,1.0,2.0,406.3333333333333,15.333333333333334,9.666666666666666,8.333333333333334,0.6666666666666666,12.333333333333334,0.0,0.0,5.666666666666667,126.33333333333333,53.0,0.25,0.39366666666666666,0.3196666666666667,0.33066666666666666,0.14366666666666666,0.0013333333333333333,-0.009666666666666667,88.3,38.36666666666667,4.666666666666667,7.533333333333334,27.766666666666666,31.600000000000005,26.133333333333336,2.3000000000000003,34.13333333333333,97.46629753633333,65.16666666666667,11.666666666666666,26.133333333333336,31.700000000000003,68.3,49.166666666666664,75.60000000000001,8.200000000000001,88.33333333333333,50.833333333333336,43.03333333333333,17.266666666666666,46.0,36.06666666666667,37.833333333333336,26.099999999999998,60.6,35.733333333333334,30.766666666666666,26.133333333333336,7.333333333333333,25.3
4,"Santana, Carlos",467793,38.0,562.3333333333334,115.66666666666667,73.0,23.333333333333332,0.3333333333333333,19.0,17.566666666666666,10.799999999999999,0.2323333333333333,0.3913333333333333,0.318,0.159,0.253,70.33333333333333,0.0,5.666666666666667,382.0,18.0,9.666666666666666,3.0,1.3333333333333333,4.0,0.0,0.0,3.3333333333333335,205.66666666666666,63.333333333333336,0.23466666666666666,0.37600000000000006,0.30833333333333335,0.321,0.14133333333333334,-0.0023333333333333335,0.015333333333333332,88.53333333333335,31.099999999999998,6.3,6.0,22.46666666666667,30.833333333333332,31.599999999999998,2.6333333333333333,38.03333333333333,99.36713703966666,66.33333333333333,16.366666666666667,24.066666666666666,40.86666666666667,59.13333333333333,51.63333333333333,77.23333333333333,7.1000000000000005,83.63333333333334,48.36666666666667,42.23333333333333,23.233333333333334,44.53333333333333,49.5,32.4,18.099999999999998,56.93333333333334,40.6,26.400000000000002,22.133333333333336,10.866666666666667,25.8
5,"Rojas, Miguel",500743,35.0,359.0,84.66666666666667,60.0,18.333333333333332,0.3333333333333333,6.0,11.966666666666667,6.833333333333333,0.2603333333333333,0.37633333333333335,0.315,0.11599999999999999,0.2823333333333333,31.333333333333332,1.6666666666666667,7.0,212.33333333333334,9.0,9.0,2.6666666666666665,0.3333333333333333,17.333333333333332,1.0,2.3333333333333335,2.3333333333333335,82.33333333333333,41.666666666666664,0.259,0.3486666666666667,0.2953333333333333,0.3153333333333333,0.09033333333333333,0.0013333333333333333,0.027666666666666662,86.63333333333333,33.666666666666664,3.1333333333333333,3.1666666666666665,26.7,26.366666666666664,34.03333333333333,6.2,30.333333333333332,97.06695764133333,65.33333333333333,8.733333333333333,28.96666666666667,32.4,67.60000000000001,50.5,76.03333333333333,7.166666666666667,91.26666666666667,49.5,43.03333333333333,16.099999999999998,47.0,38.300000000000004,34.93333333333334,26.766666666666666,61.666666666666664,47.13333333333333,20.433333333333334,25.5,6.966666666666666,26.03333333333333
6,"Pham, Tommy",502054,36.0,469.3333333333333,104.66666666666667,69.33333333333333,21.333333333333332,2.3333333333333335,11.666666666666666,21.7,9.4,0.24966666666666668,0.39466666666666667,0.321,0.145,0.30033333333333334,53.0,3.0,11.333333333333334,265.3333333333333,11.666666666666666,9.333333333333334,2.0,1.3333333333333333,2.6666666666666665,2.6666666666666665,0.0,4.0,156.0,49.333333333333336,0.26533333333333337,0.4243333333333333,0.33266666666666667,0.3376666666666666,0.159,-0.015666666666666666,-0.029666666666666664,91.43333333333334,33.1,8.166666666666666,7.266666666666667,25.2,20.46666666666667,36.6,2.066666666666667,46.333333333333336,102.13545038333332,60.36666666666667,15.033333333333333,19.733333333333334,50.23333333333333,49.76666666666667,47.03333333333333,70.96666666666665,8.299999999999999,84.96666666666665,52.96666666666667,42.833333333333336,23.0,41.233333333333334,36.233333333333334,38.26666666666667,25.5,61.03333333333333,47.96666666666667,21.233333333333334,25.96666666666667,4.8999999999999995,27.400000000000002
7,"Goldschmidt, Paul",502671,36.0,625.0,146.66666666666666,95.33333333333333,31.666666666666668,0.6666666666666666,19.0,22.866666666666664,8.866666666666667,0.26233333333333336,0.42133333333333334,0.331,0.159,0.32,63.333333333333336,1.0,9.0,463.0,29.333333333333332,13.333333333333334,3.0,4.333333333333333,5.333333333333333,0.3333333333333333,0.0,2.3333333333333335,265.0,78.33333333333333,0.26466666666666666,0.4603333333333333,0.3413333333333333,0.3333333333333333,0.19599999999999998,-0.0023333333333333335,-0.039,90.96666666666665,35.333333333333336,10.200000000000001,8.366666666666667,26.0,23.733333333333334,28.7,2.6666666666666665,48.03333333333333,101.67016517166667,64.39999999999999,20.566666666666666,27.766666666666666,36.166666666666664,63.833333333333336,49.06666666666666,71.53333333333335,8.5,79.43333333333334,50.93333333333334,41.9,25.133333333333336,46.5,35.86666666666667,34.4,29.73333333333333,63.333333333333336,41.333333333333336,27.833333333333332,25.099999999999998,5.733333333333333,26.266666666666666
8,"Altuve, Jose",514888,34.0,582.0,151.0,103.66666666666667,25.333333333333332,1.0,21.0,17.133333333333333,8.666666666666666,0.29033333333333333,0.4676666666666667,0.35733333333333334,0.17733333333333334,0.32266666666666666,64.33333333333333,5.0,15.333333333333334,386.0,19.666666666666668,14.666666666666666,5.333333333333333,2.3333333333333335,8.333333333333334,0.0,0.3333333333333333,2.3333333333333335,179.33333333333334,83.33333333333333,0.24966666666666668,0.4003333333333334,0.31633333333333336,0.3213333333333333,0.151,0.04066666666666666,0.06733333333333333,85.86666666666667,31.633333333333336,7.0,4.866666666666666,22.53333333333333,24.766666666666666,32.233333333333334,8.5,31.166666666666668,97.508603902,64.46666666666665,12.866666666666667,36.1,31.599999999999998,68.39999999999999,55.06666666666666,70.96666666666667,6.733333333333333,87.13333333333333,44.93333333333334,41.300000000000004,20.5,48.86666666666667,49.666666666666664,34.733333333333334,15.666666666666666,63.93333333333334,45.166666666666664,24.233333333333334,22.0,8.533333333333333,26.96666666666667
9,"Marte, Starling",516782,35.0,346.6666666666667,82.33333333333333,62.666666666666664,11.333333333333334,1.3333333333333333,7.0,20.933333333333334,6.233333333333333,0.26233333333333336,0.37399999999999994,0.321,0.11166666666666668,0.318,34.0,2.3333333333333335,15.666666666666666,238.0,19.0,7.666666666666667,6.666666666666667,0.6666666666666666,3.6666666666666665,2.0,2.0,2.0,157.33333333333334,40.333333333333336,0.26566666666666666,0.4036666666666667,0.3213333333333333,0.327,0.138,-0.003333333333333332,-0.029666666666666664,88.53333333333335,33.43333333333334,6.766666666666667,6.333333333333333,24.933333333333334,17.566666666666666,37.0,6.933333333333334,40.93333333333333,100.73606132066668,69.5,17.8,32.36666666666667,49.300000000000004,50.699999999999996,49.23333333333333,75.39999999999999,7.2,82.2,50.76666666666667,43.13333333333333,27.53333333333333,51.23333333333333,37.4,37.300000000000004,25.3,63.46666666666667,51.20000000000001,20.866666666666667,24.866666666666664,3.0666666666666664,26.933333333333337
10,"d'Arnaud, Travis",518595,35.0,288.0,58.333333333333336,33.666666666666664,14.0,0.0,10.666666666666666,27.0,6.6000000000000005,0.22,0.39200000000000007,0.2816666666666667,0.17200000000000001,0.269,36.0,0.0,0.3333333333333333,211.33333333333334,12.666666666666666,6.333333333333333,4.333333333333333,0.0,1.0,0.3333333333333333,0.0,2.0,163.0,29.0,0.229,0.41133333333333333,0.30733333333333335,0.2926666666666667,0.18233333333333335,-0.009,-0.01933333333333333,89.60000000000001,35.0,10.266666666666667,8.666666666666666,21.233333333333334,22.766666666666666,33.300000000000004,3.3333333333333335,40.56666666666666,100.25638113866667,74.36666666666667,24.766666666666666,29.0,48.23333333333333,51.76666666666667,48.6,83.10000000000001,8.966666666666667,75.23333333333333,51.4,42.43333333333333,31.099999999999998,52.300000000000004,39.53333333333333,33.9,26.566666666666666,67.89999999999999,42.56666666666666,26.03333333333333,23.400000000000002,8.033333333333333,26.03333333333333
11,"Freeman, Freddie",518692,34.0,665.0,176.0,104.66666666666667,44.333333333333336,2.0,25.0,17.566666666666666,10.566666666666666,0.30266666666666664,0.515,0.385,0.21233333333333335,0.3393333333333333,93.66666666666667,1.6666666666666667,12.666666666666666,535.6666666666666,23.0,13.333333333333334,10.666666666666666,9.333333333333334,2.3333333333333335,0.0,0.0,6.0,259.3333333333333,97.66666666666667,0.289,0.4953333333333334,0.37333333333333335,0.3746666666666667,0.20633333333333334,0.013666666666666667,0.01966666666666667,90.10000000000001,42.13333333333333,10.200000000000001,7.733333333333334,28.53333333333333,23.766666666666666,25.766666666666666,3.733333333333333,43.23333333333333,100.57194255966665,75.3,17.433333333333334,27.3,36.1,63.9,51.199999999999996,86.7,6.8999999999999995,82.56666666666666,48.800000000000004,42.333333333333336,22.633333333333336,50.76666666666667,37.63333333333333,34.199999999999996,28.166666666666668,60.76666666666667,38.733333333333334,29.933333333333337,27.96666666666667,3.4,26.03333333333333
12,"LeMahieu, DJ",518934,35.0,310.6666666666667,65.33333333333333,48.0,10.0,1.0,6.333333333333333,20.733333333333334,9.633333333333333,0.23766666666666666,0.32833333333333337,0.31133333333333335,0.09066666666666667,0.292,27.333333333333332,1.0,0.6666666666666666,184.66666666666666,11.0,10.333333333333334,1.3333333333333333,0.6666666666666666,2.0,0.0,0.3333333333333333,2.6666666666666665,82.66666666666667,29.0,0.249,0.363,0.305,0.3233333333333333,0.11433333333333334,-0.011333333333333334,-0.034666666666666665,89.93333333333334,30.46666666666667,5.333333333333333,6.8,27.066666666666666,14.700000000000001,43.0,2.733333333333333,44.06666666666666,99.866590729,57.76666666666667,11.933333333333332,25.400000000000002,38.43333333333333,61.56666666666666,48.73333333333333,69.03333333333333,8.1,88.06666666666666,51.26666666666667,43.300000000000004,19.733333333333334,41.96666666666667,25.46666666666667,42.86666666666667,31.666666666666668,63.53333333333333,57.86666666666667,17.0,21.96666666666667,3.1999999999999997,25.8
13,"Stanton, Giancarlo",519317,34.0,385.0,78.66666666666667,40.0,13.666666666666666,0.0,25.0,31.766666666666666,9.5,0.23233333333333336,0.4963333333333333,0.3076666666666667,0.264,0.2763333333333333,66.0,0.0,0.0,227.0,16.0,11.0,1.6666666666666667,2.6666666666666665,1.3333333333333333,0.0,0.0,1.3333333333333333,216.33333333333334,42.666666666666664,0.23366666666666666,0.4916666666666667,0.3423333333333333,0.311,0.25833333333333336,-0.0013333333333333322,0.0046666666666666705,94.10000000000001,32.63333333333333,19.5,6.7,16.400000000000002,25.566666666666666,27.833333333333332,3.4,52.96666666666667,107.31798810566666,60.6,25.599999999999998,27.833333333333332,54.800000000000004,45.199999999999996,52.06666666666666,67.5,6.333333333333333,74.39999999999999,47.93333333333334,42.9,35.300000000000004,43.56666666666666,40.96666666666667,35.333333333333336,23.7,56.4,38.86666666666667,27.599999999999998,23.066666666666666,10.5,24.166666666666668
14,"Perez, Salvador",521692,34.0,624.3333333333334,146.0,91.33333333333333,28.0,0.0,26.666666666666668,20.866666666666667,4.8,0.254,0.44133333333333336,0.302,0.18733333333333335,0.2823333333333333,94.66666666666667,0.0,0.0,475.0,24.666666666666668,14.0,12.0,6.666666666666667,2.6666666666666665,0.0,0.0,5.0,315.0,57.0,0.27133333333333337,0.5013333333333333,0.3473333333333333,0.3193333333333333,0.23066666666666666,-0.017333333333333333,-0.06,90.39999999999999,37.699999999999996,11.933333333333332,7.8999999999999995,23.266666666666666,29.066666666666666,24.366666666666664,3.1333333333333333,45.166666666666664,101.759865358,76.53333333333333,18.433333333333334,44.1,42.03333333333333,57.96666666666667,55.666666666666664,77.06666666666666,6.833333333333333,81.56666666666666,44.333333333333336,39.56666666666667,28.3,58.46666666666667,44.1,33.166666666666664,22.766666666666666,65.13333333333334,34.96666666666667,32.199999999999996,24.666666666666668,8.166666666666666,24.400000000000002
