,"last_name, first_name",player_id,player_age,pa,hit,single,double,triple,home_run,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,isolated_power,babip,b_rbi,r_total_caught_stealing,r_total_stolen_base,b_foul,b_foul_tip,b_gnd_into_dp,b_hit_by_pitch,b_intent_walk,b_pinch_hit,b_pinch_run,b_sac_bunt,b_sac_fly,b_swinging_strike,r_run,xba,xslg,xwoba,xobp,xiso,xbadiff,xslgdiff,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_percent,meatball_swing_percent,meatball_percent,iz_contact_percent,in_zone_percent,edge_percent,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,f_strike_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed
0,"Peralta, David",444482,35.0,390.6666666666667,91.66666666666667,59.333333333333336,22.0,1.3333333333333333,9.0,20.400000000000002,7.2,0.259,0.4036666666666666,0.315,0.14466666666666667,0.30633333333333335,47.333333333333336,1.3333333333333333,2.3333333333333335,285.0,15.333333333333334,6.333333333333333,2.6666666666666665,2.0,18.333333333333332,0.0,0.0,4.0,165.66666666666666,40.333333333333336,0.26033333333333336,0.3913333333333333,0.3113333333333333,0.319,0.131,-0.0013333333333333333,0.012333333333333335,89.23333333333333,34.300000000000004,6.3,7.0,26.96666666666667,21.5,34.56666666666667,3.6,43.63333333333333,100.51648109466667,71.36666666666666,15.5,33.199999999999996,46.4,53.6,51.1,75.2,7.2,84.5,48.9,45.23333333333333,25.666666666666668,51.93333333333334,38.333333333333336,37.93333333333334,23.8,63.96666666666666,44.23333333333333,22.7,26.900000000000002,6.2,27.133333333333336
1,"Blackmon, Charlie",453568,36.0,496.3333333333333,118.33333333333333,77.66666666666667,23.333333333333332,5.333333333333333,12.0,16.466666666666665,7.833333333333333,0.26633333333333337,0.42366666666666664,0.3353333333333333,0.15733333333333333,0.3013333333333333,56.666666666666664,1.3333333333333333,4.666666666666667,353.6666666666667,21.333333333333332,6.666666666666667,8.333333333333334,2.0,1.6666666666666667,0.0,1.3333333333333333,2.6666666666666665,149.66666666666666,58.666666666666664,0.258,0.38233333333333336,0.315,0.329,0.12466666666666666,0.008333333333333333,0.04133333333333333,85.8,36.6,4.833333333333333,4.533333333333334,26.8,28.900000000000002,29.366666666666664,5.133333333333334,29.766666666666666,97.03849020399998,67.36666666666666,14.4,30.0,33.233333333333334,66.76666666666667,49.4,73.46666666666667,7.7,85.60000000000001,50.6,43.5,20.066666666666666,48.93333333333334,44.699999999999996,34.300000000000004,21.033333333333335,60.9,39.300000000000004,25.433333333333334,26.566666666666666,8.700000000000001,27.599999999999998
2,"Maldonado, Martín",455117,36.0,311.0,49.666666666666664,29.333333333333332,9.0,0.0,11.333333333333334,33.166666666666664,6.2,0.16533333333333333,0.31,0.22666666666666666,0.14466666666666667,0.21266666666666667,30.666666666666668,0.0,0.0,211.66666666666666,13.0,7.0,3.6666666666666665,0.0,25.666666666666668,0.0,6.333333333333333,0.6666666666666666,185.0,27.333333333333332,0.17600000000000002,0.3233333333333333,0.24733333333333332,0.2373333333333333,0.147,-0.010666666666666666,-0.013333333333333334,88.26666666666667,31.433333333333334,8.200000000000001,6.1000000000000005,20.599999999999998,30.633333333333336,26.5,7.766666666666666,38.6,98.99942936566667,66.23333333333333,22.666666666666668,31.8,60.1,39.9,48.23333333333333,72.0,7.8999999999999995,77.33333333333333,51.76666666666667,42.06666666666667,34.199999999999996,49.6,46.166666666666664,32.96666666666667,20.866666666666667,67.33333333333333,40.833333333333336,32.199999999999996,17.766666666666666,9.166666666666666,22.96666666666667
3,"Solano, Donovan",456781,35.0,354.3333333333333,90.33333333333333,66.0,18.333333333333332,0.3333333333333333,5.666666666666667,21.099999999999998,7.433333333333334,0.284,0.39766666666666667,0.3503333333333334,0.11366666666666668,0.35366666666666663,32.333333333333336,0.3333333333333333,0.6666666666666666,277.0,16.666666666666668,6.333333333333333,7.666666666666667,0.6666666666666666,8.0,0.6666666666666666,0.0,1.3333333333333333,135.0,32.0,0.26966666666666667,0.39966666666666667,0.3243333333333333,0.3376666666666666,0.13033333333333333,0.014333333333333335,-0.0019999999999999996,88.60000000000001,38.733333333333334,5.233333333333333,7.3999999999999995,31.5,21.03333333333333,30.8,3.4666666666666663,40.76666666666667,99.03888684566668,65.06666666666666,13.933333333333332,30.566666666666666,43.800000000000004,56.199999999999996,49.166666666666664,72.7,7.866666666666667,86.06666666666666,50.833333333333336,41.43333333333333,23.266666666666666,48.03333333333333,33.0,42.03333333333333,24.96666666666667,64.73333333333333,43.199999999999996,24.0,28.433333333333334,4.3999999999999995,25.599999999999998
4,"McCutchen, Andrew",457705,36.0,522.6666666666666,108.66666666666667,71.33333333333333,20.666666666666668,0.3333333333333333,16.333333333333332,22.766666666666666,12.333333333333334,0.24166666666666667,0.3973333333333333,0.3406666666666667,0.15566666666666665,0.291,54.0,3.6666666666666665,7.333333333333333,350.3333333333333,20.0,9.0,5.0,1.0,3.6666666666666665,0.0,0.0,3.3333333333333335,224.0,62.333333333333336,0.24166666666666667,0.408,0.3323333333333333,0.3423333333333334,0.16633333333333333,0.0,-0.010666666666666666,89.06666666666666,33.93333333333334,9.133333333333333,6.433333333333334,22.933333333333334,25.96666666666667,31.766666666666666,3.533333333333333,40.5,99.89369601066666,66.16666666666667,19.666666666666668,18.866666666666667,52.666666666666664,47.333333333333336,49.300000000000004,79.83333333333333,7.933333333333333,80.33333333333333,50.699999999999996,44.4,26.833333333333332,42.833333333333336,43.666666666666664,36.199999999999996,20.133333333333336,60.166666666666664,42.1,28.2,23.366666666666664,6.366666666666666,28.03333333333333
5,"Turner, Justin",457759,38.0,565.6666666666666,134.33333333333334,88.33333333333333,30.333333333333332,0.0,15.666666666666666,17.3,9.466666666666667,0.271,0.42533333333333334,0.3496666666666666,0.15433333333333332,0.3053333333333333,77.33333333333333,1.0,2.3333333333333335,492.3333333333333,20.333333333333332,13.0,10.0,1.0,7.0,0.0,0.0,7.0,167.66666666666666,68.66666666666667,0.25966666666666666,0.418,0.33433333333333337,0.342,0.15833333333333333,0.011333333333333334,0.007333333333333333,88.7,39.166666666666664,6.1000000000000005,7.3999999999999995,27.5,31.599999999999998,24.633333333333336,2.6666666666666665,37.36666666666667,98.090752066,66.53333333333335,13.233333333333334,25.833333333333332,31.233333333333334,68.76666666666667,49.93333333333334,77.2,7.800000000000001,86.76666666666667,50.06666666666666,42.800000000000004,18.266666666666666,46.199999999999996,37.06666666666667,35.766666666666666,27.166666666666668,58.73333333333333,33.666666666666664,32.300000000000004,27.599999999999998,6.366666666666667,25.2
6,"Santana, Carlos",467793,37.0,573.0,114.33333333333333,66.66666666666667,25.666666666666668,0.3333333333333333,21.666666666666668,16.966666666666665,11.799999999999999,0.22666666666666666,0.4083333333333334,0.32066666666666666,0.18166666666666664,0.23866666666666667,72.33333333333333,0.0,3.3333333333333335,382.3333333333333,18.0,10.333333333333334,2.6666666666666665,1.6666666666666667,3.3333333333333335,0.3333333333333333,0.0,2.6666666666666665,198.66666666666666,64.33333333333333,0.24633333333333332,0.41033333333333327,0.32966666666666666,0.33866666666666667,0.164,-0.019666666666666666,-0.002000000000000001,89.56666666666666,31.266666666666666,7.766666666666667,6.166666666666667,23.7,29.73333333333333,30.400000000000002,2.066666666666667,40.4,99.95568962499999,65.66666666666667,16.900000000000002,23.03333333333333,36.43333333333333,63.56666666666666,51.46666666666667,76.5,7.3,83.10000000000001,48.53333333333333,42.36666666666667,22.233333333333334,43.73333333333333,48.9,32.43333333333334,18.666666666666668,56.833333333333336,40.13333333333333,27.133333333333336,22.333333333333332,10.4,25.833333333333332
7,"Rojas, Miguel",500743,34.0,422.3333333333333,96.33333333333333,71.0,18.666666666666668,1.0,5.666666666666667,11.133333333333333,6.0,0.25166666666666665,0.3516666666666666,0.3033333333333333,0.09999999999999999,0.27133333333333337,34.333333333333336,2.6666666666666665,8.333333333333334,259.0,8.333333333333334,10.666666666666666,4.666666666666667,0.3333333333333333,11.0,1.0,1.6666666666666667,3.3333333333333335,97.33333333333333,41.333333333333336,0.26233333333333336,0.34500000000000003,0.29433333333333334,0.31466666666666665,0.08333333333333333,-0.010666666666666666,0.006666666666666665,86.13333333333333,33.233333333333334,2.433333333333333,3.9666666666666663,27.366666666666664,25.03333333333333,35.666666666666664,5.366666666666667,28.96666666666667,96.69104009266665,66.36666666666666,7.933333333333334,30.166666666666668,31.0,69.0,50.93333333333334,72.89999999999999,7.3,92.06666666666666,49.06666666666666,43.166666666666664,15.4,48.0,35.06666666666666,35.36666666666667,29.599999999999998,62.26666666666667,47.6,19.266666666666666,26.46666666666667,6.7,26.2
8,"Pham, Tommy",502054,35.0,527.0,116.33333333333333,76.66666666666667,23.333333333333332,2.3333333333333335,14.0,23.666666666666668,8.700000000000001,0.24666666666666667,0.39599999999999996,0.315,0.14933333333333335,0.3036666666666667,56.666666666666664,3.0,12.333333333333334,307.3333333333333,15.666666666666666,12.0,3.6666666666666665,0.3333333333333333,2.0,1.6666666666666667,0.0,4.0,186.33333333333334,64.33333333333333,0.26166666666666666,0.42166666666666663,0.3303333333333333,0.331,0.16,-0.015,-0.02566666666666667,91.63333333333333,33.26666666666667,8.6,7.699999999999999,25.099999999999998,20.533333333333335,35.63333333333333,2.2666666666666666,46.76666666666667,102.23222621733333,60.4,15.633333333333333,20.3,50.26666666666667,49.73333333333333,48.36666666666667,70.43333333333334,7.933333333333334,84.36666666666666,51.63333333333333,42.56666666666667,24.03333333333333,41.0,35.1,39.199999999999996,25.7,61.73333333333333,46.96666666666667,22.099999999999998,26.5,4.466666666666666,27.633333333333336
9,"Martinez, J.D.",502110,35.0,523.3333333333334,121.66666666666667,67.33333333333333,31.333333333333332,1.3333333333333333,21.666666666666668,27.96666666666667,8.566666666666666,0.26,0.47533333333333333,0.3273333333333333,0.21533333333333335,0.32566666666666666,78.0,0.0,0.3333333333333333,406.0,19.666666666666668,16.0,4.333333333333333,0.6666666666666666,4.333333333333333,0.0,0.0,5.333333333333333,308.0,61.0,0.26233333333333336,0.49833333333333335,0.35633333333333334,0.33066666666666666,0.2363333333333333,-0.0023333333333333335,-0.023000000000000003,91.16666666666667,40.800000000000004,14.833333333333334,8.200000000000001,24.2,23.266666666666666,26.666666666666668,2.6999999999999997,47.63333333333333,101.94575285366666,73.10000000000001,20.866666666666667,31.233333333333334,55.666666666666664,44.23333333333333,52.4,88.56666666666666,7.0,79.13333333333334,47.6,42.06666666666667,32.0,51.13333333333333,34.63333333333333,38.199999999999996,27.233333333333334,64.5,37.833333333333336,33.23333333333333,24.7,4.266666666666667,26.0
